speaker ID,speakerNameSpeech,speakerNameVote
1,Abraham (MI),"ABRAHAM, Spencer"
2,Akaka (HI),"AKAKA, Daniel Kahikina"
3,Alexander (TN),"ALEXANDER, Lamar"
4,Allard (CO),"ALLARD, A. Wayne"
5,Allen (VA),"ALLEN, George"
6,Ashcroft (MO),"ASHCROFT, John David"
7,Ayotte (NH),"AYOTTE, Kelly"
8,Baldwin (WI),"BALDWIN, Tammy"
9,Barkley (MN),"BARKELY, Dean"
10,Barrasso (WY),"BARRASSO, John A."
11,Baucus (MT),"BAUCUS, Max Sieben"
12,Bayh (IN),"BAYH, Evan"
13,Begich (AK),"BEGICH, Mark"
14,Bennet (CO),"BENNET, Michael F."
15,Bennett (UT),"BENNETT, Robert"
16,Biden (DE),"BIDEN, Joseph Robinette, Jr."
17,Bingaman (NM),"BINGAMAN, Jesse Francis, Jr. (Jeff)"
18,Blumenthal (CT),"BLUMENTHAL, Richard"
19,Blunt (MO),"BLUNT, Roy"
20,Bond (MO),"BOND, Christopher Samuel (Kit)"
21,Booker (NJ),"BOOKER, Cory Anthony"
22,Boozman (AR),"BOOZMAN, John"
23,Boxer (CA),"BOXER, Barbara"
24,Bradley (NJ),"BRADLEY, William Warren (Bill)"
25,Breaux (LA),"BREAUX, John Berlinger"
26,Brown (CO),"BROWN, George Hanks (Hank)"
27,Brown (MA),"BROWN, Scott P."
28,Brown (OH),"BROWN, Sherrod"
29,Brownback (KS),"BROWNBACK, Sam Dale"
30,Bryan (NV),"BRYAN, Richard H"
31,Bumpers (AR),"BUMPERS, Dale"
32,Bunning (KY),"BUNNING, James Paul David"
33,Burns (MT),"BURNS, Conrad"
34,Burr (NC),"BURR, Richard M."
35,Burris (IL),"BURRIS, Roland"
36,Byrd (WV),"BYRD, Robert Carlyle"
37,Campbell (CO),"CAMPBELL, Ben Nighthorse"
38,Cantwell (WA),"CANTWELL, Maria E."
39,Cardin (MD),"CARDIN, Benjamin Louis"
40,Carnahan (MO),"CARNAHAN, Jean"
41,Carper (DE),"CARPER, Thomas Richard"
42,Casey (PA),"CASEY, Robert (Bob), Jr."
43,Chafee (RI),"CHAFEE, John Hubbard"
44,Chafee (RI),"CHAFEE, Lincoln Davenport"
45,Chambliss (GA),"CHAMBLISS, Saxby"
46,Chiesa (NJ),"CHIESA, Jeffrey Scott"
47,Cleland (GA),"CLELAND, Joseph Maxwell (Max)"
48,Clinton (NY),"CLINTON, Hillary Rodham"
49,Coats (IN),"COATS, Daniel Ray"
50,Coburn (OK),"COBURN, Thomas Allen"
51,Cochran (MS),"COCHRAN, William Thad"
52,Cohen (ME),"COHEN, William Sebastian"
53,Coleman (MN),"COLEMAN, Norm"
54,Collins (ME),"COLLINS, Susan Margaret"
55,Conrad (ND),"CONRAD, Kent"
56,Coons (DE),"COONS, Christopher A."
57,Corker (TN),"CORKER, Robert (Bob)"
58,Cornyn (TX),"CORNYN, John"
59,Corzine (NJ),"CORZINE, Jon Stevens"
60,Coverdell (GA),"COVERDELL, Paul"
61,Cowan (MA),"COWAN, William (Mo)"
62,Craig (ID),"CRAIG, Larry Edwin"
63,Crapo (ID),"CRAPO, Michael Dean"
64,Cruz (TX),"CRUZ, Rafael Edward (Ted)"
65,DAmato (NY),"D'AMATO, Alfonse Marcello"
66,Daschle (SD),"DASCHLE, Thomas Andrew"
67,Dayton (MN),"DAYTON, Mark"
68,DeMint (SC),"DeMINT, James W."
69,DeWine (OH),"DeWINE, Michael"
70,Dodd (CT),"DODD, Christopher John"
71,Dole (NC),"DOLE, Elizabeth Hanford"
72,Dole (KS),"DOLE, Robert Joseph"
73,Domenici (NM),"DOMENICI, Pete Vichi"
74,Donnelly (IN),"DONNELLY, Joe"
75,Dorgan (ND),"DORGAN, Byron Leslie"
76,Durbin (IL),"DURBIN, Richard Joseph"
77,Edwards (NC),"EDWARDS, John"
78,Ensign (NV),"ENSIGN, John Eric"
79,Enzi (WY),"ENZI, Michael B."
80,Exon (NE),"EXON, J. James"
81,Faircloth (NC),"FAIRCLOTH, Duncan McLauchlin (Lauch)"
82,Feingold (WI),"FEINGOLD, Russell Dana"
83,Feinstein (CA),"FEINSTEIN, Dianne"
84,Fischer (NE),"FISCHER, Debra (Deb)"
85,Fitzgerald (IL),"FITZGERALD, Peter G."
86,Flake (AZ),"FLAKE, Jeff"
87,Ford (KY),"FORD, Wendell Hampton"
88,Frahm (KS),"FRAHM, Sheila"
89,Franken (MN),"FRANKEN, Al"
90,Frist (TN),"FRIST, William H."
91,Gillibrand (NY),"GILLIBRAND, Kirsten"
92,Glenn (OH),"GLENN, John Herschel, Jr."
93,Goodwin (WV),"GOODWIN, Carte P."
94,Gorton (WA),"GORTON, Thomas Slade, III (Slade)"
95,Graham (FL),"GRAHAM, Daniel Robert (Bob)"
96,Graham (SC),"GRAHAM, Lindsey O."
97,Gramm (TX),"GRAMM, William Philip (Phil)"
98,Grams (MN),"GRAMS, Rod"
99,Grassley (IA),"GRASSLEY, Charles Ernest"
100,Gregg (NH),"GREGG, Judd Alan"
101,Hagan (NC),"HAGAN, Kay"
102,Hagel (NE),"HAGEL, Charles Timothy (Chuck)"
103,Harkin (IA),"HARKIN, Thomas Richard (Tom)"
104,Hatch (UT),"HATCH, Orrin Grant"
105,Hatfield (OR),"HATFIELD, Mark Odom"
106,Heflin (AL),"HEFLIN, Howell Thomas"
107,Heinrich (NM),"HEINRICH, Martin"
108,Heitkamp (ND),"HEITKAMP, Mary Kathryn (Heidi)"
109,Heller (NV),"HELLER, Dean"
110,Helms (NC),"HELMS, Jesse"
111,Hirono (HI),"HIRONO, Mazie"
112,Hoeven (ND),"HOEVEN, John"
113,Hollings (SC),"HOLLINGS, Ernest Frederick"
114,Hutchinson (AR),"HUTCHINSON, Timothy"
115,Hutchison (TX),"HUTCHISON, Kathryn Ann Bailey (Kay)"
116,Inhofe (OK),"INHOFE, James Mountain"
117,Inouye (HI),"INOUYE, Daniel Ken"
118,Isakson (GA),"ISAKSON, Johnny"
119,Jeffords (VT),"JEFFORDS, James Merrill"
120,Johanns (NE),"JOHANNS, Mike"
121,Johnson (WI),"JOHNSON, Ron"
122,Johnson (SD),"JOHNSON, Timothy Peter (Tim)"
123,Johnston (LA),"JOHNSTON, John Bennett, Jr."
124,Kaine (VA),"KAINE, Timothy Michael (Tim)"
125,Kassebaum (KS),"KASSEBAUM, Nancy Landon"
126,Kaufman (DE),"KAUFMAN, Edward E. (Ted)"
127,Kempthorne (ID),"KEMPTHORNE, Dirk"
128,Kennedy (MA),"KENNEDY, Edward Moore (Ted)"
129,Kerrey (NE),"KERREY, J. Robert"
130,Kerry (MA),"KERRY, John Forbes"
131,King (ME),"KING, Angus Stanley, Jr."
132,Kirk (IL),"KIRK, Mark Steven"
133,Kirk (MA),"KIRK, Paul G., Jr."
134,Klobuchar (MN),"KLOBUCHAR, Amy"
135,Kohl (WI),"KOHL, Herbert H."
136,Kyl (AZ),"KYL, Jon Llewellyn"
137,Landrieu (LA),"LANDRIEU, Mary L."
138,Lautenberg (NJ),"LAUTENBERG, Frank Raleigh"
139,Leahy (VT),"LEAHY, Patrick Joseph"
140,Lee (UT),"LEE, Mike"
141,LeMieux (FL),"LEMIEUX, George S."
142,Levin (MI),"LEVIN, Carl"
143,Lieberman (CT),"LIEBERMAN, Joseph I."
144,Lincoln (AR),"LINCOLN, Blanche Lambert"
145,Lott (MS),"LOTT, Chester Trent"
146,Lugar (IN),"LUGAR, Richard Green"
147,Mack (FL),"MACK, Connie, III"
148,Manchin (WV),"MANCHIN, Joe, III"
149,Markey (MA),"MARKEY, Edward John"
150,Martinez (FL),"MARTINEZ, Melquiades R. (Mel)"
151,McCain (AZ),"McCAIN, John Sidney, III"
152,McCaskill (MO),"McCASKILL, Claire"
153,McConnell (KY),"McCONNELL, Addison Mitchell (Mitch)"
154,Menendez (NJ),"MENENDEZ, Robert"
155,Merkley (OR),"MERKLEY, Jeff"
156,Mikulski (MD),"MIKULSKI, Barbara Ann"
157,Miller (GA),"MILLER, Zell Bryan"
158,Moran (KS),"MORAN, Jerry"
159,Moseley-Braun (IL),"MOSELEY BRAUN, Carol"
160,Moynihan (NY),"MOYNIHAN, Daniel Patrick"
161,Murkowski (AK),"MURKOWSKI, Frank Hughes"
162,Murkowski (AK),"MURKOWSKI, Lisa"
163,Murphy (CT),"MURPHY, Christopher"
164,Murray (WA),"MURRAY, Patty"
165,Nelson (NE),"NELSON, Earl Benjamin (Ben)"
166,Nelson (FL),"NELSON, Clarence William (Bill)"
167,Nickles (OK),"NICKLES, Donald Lee"
168,Nunn (GA),"NUNN, Samuel Augustus"
169,Obama (IL),"OBAMA, Barack"
