,speaker,congress,first.name,last.name,state,party,speaker.name,speakerID,stateName,retiring,running,appointeeRunning,specialElection,female,speakerNameSpeech,speakerNameVote,bioname,nokken_poole_dim1,nokken_poole_dim2
0,mr abraham,104,Spencer,Abraham,MI,R,Abraham (MI),1,Michigan,0,0,0,0,0,Abraham (MI),"ABRAHAM, Spencer","ABRAHAM, Spencer",0.33,-0.302
1,mr akaka,104,Daniel,Akaka,HI,D,Akaka (HI),2,Hawaii,0,0,0,0,0,Akaka (HI),"AKAKA, Daniel Kahikina","AKAKA, Daniel Kahikina",-0.414,0.232
2,mr ashcroft,104,John,Ashcroft,MO,R,Ashcroft (MO),6,Missouri,0,0,0,0,0,Ashcroft (MO),"ASHCROFT, John David","ASHCROFT, John David",0.538,-0.274
3,mr baucus,104,Max,Baucus,MT,D,Baucus (MT),11,Montana,0,1,0,0,0,Baucus (MT),"BAUCUS, Max Sieben","BAUCUS, Max Sieben",-0.164,0.011
4,mr bennett,104,Robert,Bennett,UT,R,Bennett (UT),15,Utah,0,0,0,0,0,Bennett (UT),"BENNETT, Robert","BENNETT, Robert",0.325,-0.045
5,mr biden,104,"Joseph R., Jr.",Biden,DE,D,Biden (DE),16,Delaware,0,1,0,0,0,Biden (DE),"BIDEN, Joseph Robinette, Jr.","BIDEN, Joseph Robinette, Jr.",-0.266,-0.06
6,mr bingaman,104,Jeff,Bingaman,NM,D,Bingaman (NM),17,New Mexico,0,0,0,0,0,Bingaman (NM),"BINGAMAN, Jesse Francis, Jr. (Jeff)","BINGAMAN, Jesse Francis, Jr. (Jeff)",-0.269,0.066
7,mr bond,104,Kit,Bond,MO,R,Bond (MO),20,Missouri,0,0,0,0,0,Bond (MO),"BOND, Christopher Samuel (Kit)","BOND, Christopher Samuel (Kit)",0.291,-0.124
8,mrs boxer,104,Barbara,Boxer,CA,D,Boxer (CA),23,California,0,0,0,0,1,Boxer (CA),"BOXER, Barbara","BOXER, Barbara",-0.446,-0.207
9,mr bradley,104,Bill,Bradley,NJ,D,Bradley (NJ),24,New Jersey,1,0,0,0,0,Bradley (NJ),"BRADLEY, William Warren (Bill)","BRADLEY, William Warren (Bill)",-0.335,-0.653
10,mr breaux,104,John,Breaux,LA,D,Breaux (LA),25,Louisiana,0,0,0,0,0,Breaux (LA),"BREAUX, John Berlinger","BREAUX, John Berlinger",-0.21,0.978
11,mr brown,104,George Hanks (Hank),Brown,CO,R,Brown (CO),26,Colorado,1,0,0,0,0,Brown (CO),"BROWN, George Hanks (Hank)","BROWN, George Hanks (Hank)",0.557,-0.831
12,mr bryan,104,Richard,Bryan,NV,D,Bryan (NV),30,Nevada,0,0,0,0,0,Bryan (NV),"BRYAN, Richard H","BRYAN, Richard H",-0.252,0.245
13,mr bumpers,104,Dale,Bumpers,AR,D,Bumpers (AR),31,Arkansas,0,0,0,0,0,Bumpers (AR),"BUMPERS, Dale","BUMPERS, Dale",-0.396,0.389
14,mr burns,104,Conrad,Burns,MT,R,Burns (MT),33,Montana,0,0,0,0,0,Burns (MT),"BURNS, Conrad","BURNS, Conrad",0.351,0.21
15,mr byrd,104,Robert C.,Byrd,WV,D,Byrd (WV),36,West Virginia,0,0,0,0,0,Byrd (WV),"BYRD, Robert Carlyle","BYRD, Robert Carlyle",-0.319,0.948
16,mr campbell,104,Ben Nighthorse,Campbell,CO,R,Campbell (CO),37,Colorado,0,0,0,0,0,Campbell (CO),"CAMPBELL, Ben Nighthorse","CAMPBELL, Ben Nighthorse",-0.174,-0.506
17,mr campbell,104,Ben Nighthorse,Campbell,CO,R,Campbell (CO),37,Colorado,0,0,0,0,0,Campbell (CO),"CAMPBELL, Ben Nighthorse","CAMPBELL, Ben Nighthorse",0.152,-0.123
18,mr chafee,104,John H.,Chafee,RI,R,Chafee (RI),43,Rhode Island,0,0,0,0,0,Chafee (RI),"CHAFEE, John Hubbard","CHAFEE, John Hubbard",0.091,-0.996
19,mr coats,104,Daniel,Coats,IN,R,Coats (IN),49,Indiana,0,0,0,0,0,Coats (IN),"COATS, Daniel Ray","COATS, Daniel Ray",0.457,-0.432
20,mr cochran,104,Thad,Cochran,MS,R,Cochran (MS),51,Mississippi,0,1,0,0,0,Cochran (MS),"COCHRAN, William Thad","COCHRAN, William Thad",0.325,0.248
21,mr cohen,104,William S.,Cohen,ME,R,Cohen (ME),52,Maine,1,0,0,0,0,Cohen (ME),"COHEN, William Sebastian","COHEN, William Sebastian",0.04,-0.665
22,mr conrad,104,Kent,Conrad,ND,D,Conrad (ND),55,North Dakota,0,0,0,0,0,Conrad (ND),"CONRAD, Kent","CONRAD, Kent",-0.347,0.624
23,mr coverdell,104,Paul,Coverdell,GA,R,Coverdell (GA),60,Georgia,0,0,0,0,0,Coverdell (GA),"COVERDELL, Paul","COVERDELL, Paul",0.428,0.056
24,mr craig,104,Larry E.,Craig,ID,R,Craig (ID),62,Idaho,0,1,0,0,0,Craig (ID),"CRAIG, Larry Edwin","CRAIG, Larry Edwin",0.477,0.237
25,mr d'amato,104,Alfonse M.,DAmato,NY,R,DAmato (NY),65,New York,0,0,0,0,0,DAmato (NY),"D'AMATO, Alfonse Marcello","D'AMATO, Alfonse Marcello",0.229,-0.201
26,mr daschle,104,Tom,Daschle,SD,D,Daschle (SD),66,South Dakota,0,0,0,0,0,Daschle (SD),"DASCHLE, Thomas Andrew","DASCHLE, Thomas Andrew",-0.381,0.359
27,mr dewine,104,Mike,DeWine,OH,R,DeWine (OH),69,Ohio,0,0,0,0,0,DeWine (OH),"DeWINE, Michael","DeWINE, Michael",0.241,-0.395
28,mr dodd,104,Christopher J.,Dodd,CT,D,Dodd (CT),70,Connecticut,0,0,0,0,0,Dodd (CT),"DODD, Christopher John","DODD, Christopher John",-0.318,-0.064
